"BioSample.Accession"	"Assembly.Accession"	"Status"	"nuccore_first_chrom"	"Release.Date"	"Modify.Date"	"id"	"title"	"platform"	"instrument_model"	"study_acc"	"organism_ScientificName"	"organism_taxid"	"bioproject"	"runCreateDate"	"runUpdateDate"	"nSRAs"	"run_SRAs"	"run_sizes"	"run_publicities"
"SAMN02603652"	"GCA_000389925.1"	"Complete Genome"	"CP005386.1"	"2013/05/08"	"2014/01/31"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603653"	"GCA_000389945.1"	"Complete Genome"	"NC_021194.1"	"2013/05/08"	"2017/03/08"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603654"	"GCA_000192885.1"	"Complete Genome"	"NC_017246.1"	"2011/03/22"	"2017/03/30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603655"	"GCA_000192725.1"	"Complete Genome"	"NC_017244.1"	"2011/03/18"	"2017/03/30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603656"	"GCA_000219455.1"	"Complete Genome"	"NC_017221.1"	"2011/06/28"	"2017/03/30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603657"	"GCA_000463395.1"	"Complete Genome"	"NC_022236.1"	"2013/09/03"	"2017/04/01"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603658"	"GCA_000463385.1"	"Complete Genome"	"NC_022237.1"	"2013/09/03"	"2017/04/01"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603659"	"GCA_000463355.1"	"Complete Genome"	"NC_022246.1"	"2013/09/03"	"2017/04/01"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603660"	"GCA_000463445.1"	"Complete Genome"	"NC_022245.1"	"2013/09/03"	"2017/04/02"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603661"	"GCA_000463425.1"	"Complete Genome"	"NC_022238.1"	"2013/09/03"	"2017/04/01"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603662"	"GCA_000463465.1"	"Complete Genome"	"NC_022244.1"	"2013/09/03"	"2017/04/01"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603663"	"GCA_000463505.1"	"Complete Genome"	"NC_022239.1"	"2013/09/03"	"2017/04/01"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603664"	"GCA_000196395.1"	"Complete Genome"	"NC_009348.1"	"2007/04/06"	"2017/05/18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603665"	"GCA_000015885.1"	"Complete Genome"	"NC_009053.1"	"2007/02/23"	"2017/03/30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603666"	"GCA_000186585.1"	"Complete Genome"	"NC_014965.1"	"2011/01/24"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603667"	"GCA_000302575.1"	"Complete Genome"	"NC_018706.1"	"2012/10/03"	"2017/03/15"	2026526	"Acinetobacter baumannii ML"	"ILLUMINA"	"Illumina HiSeq 2000"	"SRP066237"	"Acinetobacter baumannii TYTH-1"	"1100841"	"PRJNA74551"	"2015/11/16"	"2015/11/16"	"1"	"SRR2917943"	"1158893946"	"true"
"SAMN02603668"	"GCA_000474015.1"	"Complete Genome"	"NC_022566.1"	"2013/10/18"	"2017/02/21"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603669"	"GCA_000359505.1"	"Complete Genome"	"NC_020912.1"	"2013/04/09"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603670"	"GCA_000223215.1"	"Complete Genome"	"NC_017243.1"	"2011/08/10"	"2017/04/17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603671"	"GCA_000204565.1"	"Complete Genome"	"NC_015425.1"	"2011/04/18"	"2017/03/22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603672"	"GCA_000464435.1"	"Complete Genome"	"NC_022269.1"	"2013/09/04"	"2017/04/01"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603673"	"GCA_000319475.1"	"Complete Genome"	"NC_019842.1"	"2012/12/12"	"2017/09/04"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603674"	"GCA_000400875.1"	"Complete Genome"	"NC_021281.1"	"2013/05/22"	"2017/11/15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603675"	"GCA_000007525.1"	"Complete Genome"	"NC_004307.2"	"2002/09/27"	"2016/08/03"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603676"	"GCA_000008065.1"	"Complete Genome"	"NC_005362.1"	"2004/02/02"	"2017/03/29"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603677"	"GCA_000221045.1"	"Complete Genome"	"NC_015856.1"	"2011/07/20"	"2017/05/18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603678"	"GCA_000008385.1"	"Complete Genome"	"NC_006833.1"	"2005/02/02"	"2017/04/17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603679"	"GCA_000246985.3"	"Complete Genome"	"NC_022084.1"	"2013/08/13"	"2017/04/17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603680"	"GCA_000007385.1"	"Complete Genome"	"AE013598.1"	"2005/02/02"	"2014/01/31"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603681"	"GCA_000236065.1"	"Complete Genome"	"NC_016589.1"	"2011/11/22"	"2017/05/18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603682"	"GCA_000007505.1"	"Complete Genome"	"NC_004310.3"	"2002/09/30"	"2017/03/29"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603683"	"GCA_000092385.1"	"Complete Genome"	"NC_016582.1"	"2010/05/28"	"2018/03/23"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603684"	"GCA_000018885.1"	"Complete Genome"	"NC_010168.1"	"2007/12/18"	"2017/03/29"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603685"	"GCA_000011645.1"	"Complete Genome"	"NC_006270.3"	"2004/09/14"	"2017/05/18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603686"	"GCA_000307585.2"	"Complete Genome"	"CP003184.1"	"2012/06/01"	"2014/08/27"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603687"	"GCA_000012225.1"	"Complete Genome"	"NC_007716.1"	"2006/01/11"	"2017/04/17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603688"	"GCA_000294515.1"	"Complete Genome"	"NC_018524.1"	"2012/09/04"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603689"	"GCA_000217675.1"	"Complete Genome"	"NC_015633.1"	"2011/06/09"	"2017/04/10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603690"	"GCA_000012345.1"	"Complete Genome"	"NC_007205.1"	"2005/07/22"	"2017/03/29"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603691"	"GCA_000092745.1"	"Complete Genome"	"NC_017431.1"	"2010/05/21"	"2017/03/22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603692"	"GCA_000092665.1"	"Complete Genome"	"NC_017439.1"	"2010/05/21"	"2017/03/22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603693"	"GCA_000092685.1"	"Complete Genome"	"NC_017429.1"	"2010/05/21"	"2017/03/22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603694"	"GCA_000092705.1"	"Complete Genome"	"NC_017430.1"	"2010/05/21"	"2017/03/22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603695"	"GCA_000092725.1"	"Complete Genome"	"NC_017440.1"	"2010/05/21"	"2017/03/22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603696"	"GCA_000092805.1"	"Complete Genome"	"NC_017432.1"	"2010/05/28"	"2017/03/22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603697"	"GCA_000441585.1"	"Complete Genome"	"NC_021895.1"	"2013/07/26"	"2017/03/24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603698"	"GCA_000441615.1"	"Complete Genome"	"NC_021887.1"	"2013/07/26"	"2017/03/24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603699"	"GCA_000441635.1"	"Complete Genome"	"NC_021888.1"	"2013/07/26"	"2017/03/24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603700"	"GCA_000441655.1"	"Complete Genome"	"NC_021896.1"	"2013/07/26"	"2017/03/24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603701"	"GCA_000441675.1"	"Complete Genome"	"NC_021889.1"	"2013/07/26"	"2017/03/24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603702"	"GCA_000441695.1"	"Complete Genome"	"NC_021897.1"	"2013/07/26"	"2017/03/24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603703"	"GCA_000441715.1"	"Complete Genome"	"NC_021890.1"	"2013/07/26"	"2017/03/24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603704"	"GCA_000441735.1"	"Complete Genome"	"NC_021891.1"	"2013/07/26"	"2017/03/24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603705"	"GCA_000441755.1"	"Complete Genome"	"NC_021898.1"	"2013/07/26"	"2017/03/24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603706"	"GCA_000441775.1"	"Complete Genome"	"NC_021892.1"	"2013/07/26"	"2017/03/24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603707"	"GCA_000441795.1"	"Complete Genome"	"NC_021899.1"	"2013/07/26"	"2017/03/24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603708"	"GCA_000441815.1"	"Complete Genome"	"NC_021893.1"	"2013/07/26"	"2017/03/24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603709"	"GCA_000364745.1"	"Complete Genome"	"NC_021058.1"	"2013/04/15"	"2017/04/01"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603710"	"GCA_000024185.1"	"Complete Genome"	"NC_013790.1"	"2010/02/05"	"2017/04/17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603712"	"GCA_000192315.1"	"Complete Genome"	"NC_017374.1"	"2011/03/15"	"2017/03/22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603713"	"GCA_000192335.1"	"Complete Genome"	"NC_017381.1"	"2011/03/15"	"2017/03/22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603714"	"GCA_000006765.1"	"Complete Genome"	"NC_002516.2"	"2000/05/16"	"2018/02/13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603715"	"GCA_000471945.1"	"Complete Genome"	"NC_022523.1"	"2013/09/27"	"2017/04/02"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603716"	"GCA_000390085.1"	"Complete Genome"	"NC_021200.1"	"2013/05/09"	"2017/04/01"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603717"	"GCA_000260715.1"	"Complete Genome"	"NC_017834.1"	"2012/04/30"	"2017/03/30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603718"	"GCA_000220645.1"	"Complete Genome"	"NC_015847.1"	"2011/07/14"	"2017/04/07"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603719"	"GCA_000349795.1"	"Complete Genome"	"NC_020832.1"	"2013/03/29"	"2017/03/23"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603720"	"GCA_000007585.1"	"Complete Genome"	"NC_002950.2"	"2001/12/07"	"2017/03/29"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603721"	"GCA_000022925.1"	"Complete Genome"	"NC_013768.1"	"2010/01/20"	"2017/02/26"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603722"	"GCA_000296595.1"	"Complete Genome"	"NC_018608.1"	"2012/09/14"	"2017/03/02"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603723"	"GCA_000468915.2"	"Complete Genome"	"NC_022362.2"	"2013/09/16"	"2017/03/16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603724"	"GCA_000466105.2"	"Complete Genome"	"NC_022352.2"	"2013/09/12"	"2017/03/16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603725"	"GCA_000466065.2"	"Complete Genome"	"NC_022351.2"	"2013/09/12"	"2017/03/16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603726"	"GCA_000466075.2"	"Complete Genome"	"NC_022353.2"	"2013/09/12"	"2017/03/16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603727"	"GCA_000183345.1"	"Complete Genome"	"NC_017634.1"	"2010/11/30"	"2017/03/16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603728"	"GCA_000221985.1"	"Complete Genome"	"NC_015875.1"	"2011/07/29"	"2017/03/30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603729"	"GCA_000404245.1"	"Complete Genome"	"CP003730.1"	"2013/06/03"	"2014/01/31"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603730"	"GCA_000179035.2"	"Complete Genome"	"NC_015155.1"	"2011/02/18"	"2017/04/07"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603731"	"GCA_000186985.3"	"Complete Genome"	"CP002808.1"	"2011/05/27"	"2014/01/31"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603732"	"GCA_000281235.1"	"Complete Genome"	"CP003731.1"	"2012/07/24"	"2014/01/31"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603733"	"GCA_000238995.1"	"Complete Genome"	"NC_016638.1"	"2011/12/20"	"2015/08/24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603734"	"GCA_000277795.1"	"Complete Genome"	"NC_018149.1"	"2012/07/16"	"2017/04/17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603735"	"GCA_000349845.1"	"Complete Genome"	"NC_020829.1"	"2013/03/29"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603736"	"GCA_000277085.1"	"Complete Genome"	"CP003233.1"	"2012/03/20"	"2014/01/31"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603737"	"GCA_000277105.1"	"Complete Genome"	"CP003234.1"	"2012/03/20"	"2014/01/31"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603738"	"GCA_000230275.1"	"Complete Genome"	"NC_016077.1"	"2011/10/07"	"2017/04/07"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603739"	"GCA_000152065.2"	"Complete Genome"	"NC_017303.2"	"2010/10/12"	"2017/05/06"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603740"	"GCA_000195065.1"	"Complete Genome"	"CP002555.1"	"2011/04/05"	"2014/01/31"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603741"	"GCA_000221625.1"	"Complete Genome"	"NC_017305.1"	"2011/07/27"	"2017/03/30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603742"	"GCA_000227605.2"	"Complete Genome"	"NC_017307.2"	"2011/10/06"	"2017/05/31"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603743"	"GCA_000255935.1"	"Complete Genome"	"NC_017031.1"	"2012/03/23"	"2017/03/30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603744"	"GCA_000265545.2"	"Complete Genome"	"NC_018019.2"	"2012/06/11"	"2017/06/21"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603745"	"GCA_000263755.2"	"Complete Genome"	"NC_017945.2"	"2012/05/22"	"2015/03/24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603746"	"GCA_000341715.1"	"Complete Genome"	"CP004144.1"	"2013/02/22"	"2014/01/31"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603747"	"GCA_000248375.1"	"Complete Genome"	"NC_016932.1"	"2012/02/22"	"2017/03/30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603748"	"GCA_000299435.1"	"Complete Genome"	"NC_018665.1"	"2012/09/27"	"2018/06/13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603749"	"GCA_000259155.3"	"Complete Genome"	"NC_017730.3"	"2012/04/18"	"2017/04/05"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603750"	"GCA_000241855.1"	"Complete Genome"	"NC_016781.1"	"2012/01/10"	"2017/03/30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603751"	"GCA_000227175.1"	"Complete Genome"	"NC_017306.1"	"2011/10/03"	"2017/03/30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603752"	"GCA_000233735.1"	"Complete Genome"	"NC_017308.1"	"2011/11/03"	"2017/04/10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603753"	"GCA_000258385.1"	"Complete Genome"	"NC_017462.1"	"2012/04/10"	"2017/03/30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603754"	"GCA_000148405.1"	"Complete Genome"	"NC_017562.1"	"2010/09/23"	"2017/04/11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603755"	"GCA_000224435.1"	"Complete Genome"	"NC_017524.1"	"2011/08/25"	"2017/05/18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603756"	"GCA_000018785.1"	"Complete Genome"	"NC_010163.1"	"2007/12/07"	"2017/04/06"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603757"	"GCA_000300475.1"	"Complete Genome"	"NC_018693.1"	"2012/10/01"	"2017/06/15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603758"	"GCA_000295655.1"	"Complete Genome"	"NC_018609.1"	"2012/09/07"	"2017/03/30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603759"	"GCA_000441575.1"	"Complete Genome"	"CP003467.1"	"2013/07/26"	"2014/01/31"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603760"	"GCA_000441555.1"	"Complete Genome"	"NC_021885.1"	"2013/07/26"	"2017/04/08"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603761"	"GCA_000307795.1"	"Complete Genome"	"NC_018939.1"	"2012/10/23"	"2017/03/23"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603762"	"GCA_000307815.1"	"Complete Genome"	"NC_018937.1"	"2012/10/23"	"2017/03/23"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603763"	"GCA_000307835.1"	"Complete Genome"	"NC_018938.1"	"2012/10/23"	"2017/03/23"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603764"	"GCA_000025145.2"	"Complete Genome"	"NC_017340.1"	"2010/02/03"	"2017/03/22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603765"	"GCA_000281195.1"	"Complete Genome"	"NC_018221.1"	"2012/07/24"	"2017/03/23"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603766"	"GCA_000019865.1"	"Complete Genome"	"NC_011527.1"	"2008/11/06"	"2017/03/30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603767"	"GCA_000019885.1"	"Complete Genome"	"NC_011528.1"	"2008/11/06"	"2017/03/30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603768"	"GCA_000017445.3"	"Complete Genome"	"NC_010263.3"	"2008/01/17"	"2015/02/11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603769"	"GCA_000014285.2"	"Complete Genome"	"NC_008343.2"	"2006/09/13"	"2017/10/07"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603770"	"GCA_000226605.1"	"Complete Genome"	"NC_017437.1"	"2011/09/28"	"2017/04/10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603771"	"GCA_000414035.1"	"Complete Genome"	"NC_021577.1"	"2013/06/24"	"2017/03/15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603772"	"GCA_000007665.1"	"Complete Genome"	"NC_006087.1"	"2004/08/04"	"2017/04/06"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603773"	"GCA_000006725.1"	"Complete Genome"	"NC_002488.3"	"2000/06/02"	"2017/03/29"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603776"	"GCA_000093125.2"	"Complete Genome"	"NC_013766.2"	"2010/01/20"	"2017/02/26"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603777"	"GCA_000092265.1"	"Complete Genome"	"NC_014147.1"	"2010/05/11"	"2017/03/30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603844"	"GCA_000007245.1"	"Complete Genome"	"NC_004556.1"	"2003/01/29"	"2017/03/29"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603845"	"GCA_000007145.1"	"Complete Genome"	"NC_003902.1"	"2001/11/28"	"2017/03/24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603846"	"GCA_000007165.1"	"Complete Genome"	"NC_003919.1"	"2001/11/28"	"2018/01/11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603847"	"GCA_000007685.1"	"Complete Genome"	"NC_005823.1"	"2004/03/22"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603848"	"GCA_000262675.1"	"Complete Genome"	"NC_017927.1"	"2012/05/14"	"2017/04/11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603849"	"GCA_000226155.1"	"Complete Genome"	"NC_017548.1"	"2011/09/19"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603850"	"GCA_000263215.1"	"Complete Genome"	"NC_017933.1"	"2012/05/17"	"2017/03/30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603851"	"GCA_000262165.1"	"Complete Genome"	"NC_017904.1"	"2012/05/09"	"2017/05/18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603852"	"GCA_000445035.1"	"Complete Genome"	"NC_021282.1"	"2013/05/22"	"2017/03/15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603853"	"GCA_000250675.3"	"Complete Genome"	"NC_018681.1"	"2012/09/28"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603854"	"GCA_000164985.2"	"Complete Genome"	"NZ_CP002213.1"	"2010/10/19"	"2015/04/24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603855"	"GCA_000023465.1"	"Complete Genome"	"NC_014041.1"	"2010/04/21"	"2017/05/19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SAMN02603856"	"GCA_000184065.1"	"Complete Genome"	"NC_014803.1"	"2010/12/14"	"2017/04/17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
